blockNumber,transactionHash,timestamp,caller,liquidator,gasUsed,borrower,basePaidOut,basePaidOutUsdValue,collateralAbsorbedAssets,collateralAbsorbedAmounts,collateralAbsorbedUsdValues,buyCollateralBuyers,buyCollateralAssets,buyCollateralBaseAmounts,buyCollateralCollateralAmounts
23742451,0x34cfa808d7e0b1c588df96526b727b0931c5f8806fb849fd4e65551eaad6db6a,2025-11-06T19:53:11.000Z,0x9c4Ebb54625b1E93E987E287fa832BD2e0a854b7,,997520,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,345505924,9623828717835333109149
23742467,0x69a83ff0151cc2493635ece207ca46d7df1248d46c6971908470ceee40743f98,2025-11-06T19:56:23.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,1179780,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138,1050277459,34717224105617031715923
23742515,0x31f31cc79b67d79d797e219f8b714726e30b7e5c817e3121b2a608342fd791c6,2025-11-06T20:05:59.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,764405,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,60949072,2060840838401872272209
23742535,0x0ce128a4edadcdde497e15eb189571f594e9267941bd2ffa5b06346b424851d0,2025-11-06T20:09:59.000Z,0x07De4e70Ff80bc47546ef7c5D081a4a1FF8bD98E,,1023534,,0,0,,,,0xbD32122bAD41A09f2405Bb374A83877d8245079C,0x15700B564Ca08D9439C58cA5053166E8317aa138,96253496,3413413552265149472907
23742586,0x637d218128969d99bfb30045c109b011686412511c6c86cc6620bb29febbb7e7,2025-11-06T20:20:11.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1028235,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,8945651,324595827096510071936
23742610,0x3b8711d9708fcb37220f852f6503898f8cad1d7fd39efd5acab1d7947ae995c8,2025-11-06T20:24:59.000Z,0xC31a49D1c4C652aF57cEFDeF248f3c55b801c649,,1126188,,0,0,,,,0xF0D539955974b248d763D60C3663eF272dfC6971,0x15700B564Ca08D9439C58cA5053166E8317aa138,60949072,2216262179276873909566
23742741,0xeac988509835b5c37d915263e10c4ffc181090da1c79801b25fc305cd059bf4a,2025-11-06T20:51:35.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1005594,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,51675013,1893545411725079240348
23742757,0x58f1ad7c34d376e66713547750d29e498a60b8788a2e9ec51c69f1fd02dbb282,2025-11-06T20:54:59.000Z,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,,373593,,0,0,,,,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,0x15700B564Ca08D9439C58cA5053166E8317aa138,1500000000,54553708849722024067844
23742777,0x6f708f7b600a0837aad3050b60a336dbb64313c130e86a87474d353f80ffb08e,2025-11-06T20:58:59.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1300890,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,39121438,1440713331090339557923
23742778,0x909413976bae667c99ea4bf04f738e332cc597ef2a8ddf4018bcf1b83d70b265,2025-11-06T20:59:11.000Z,0x3eA68f362520Bfa09D2deFC6169eEDF9E9b70408,,998050,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,55679889,2050506383633708851844
23742779,0x1a495a04ece447427259b4d1058fed053dc789742c5d2dee4c85bcb82964ce06,2025-11-06T20:59:23.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1129845,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,47925675,1764944296628437055219
23742789,0x585fd4b7e622db47f94e7d052b9a7fab124abd31dbaec98b481b613785b5eb85,2025-11-06T21:01:23.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1784578,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,131165866,4876473713313775924753
23742808,0x24f985e335aa2a31c8234da4098919ad3c320562c19d548178fcbb02e173f6a7,2025-11-06T21:05:11.000Z,0x5B6Fc74F269C731840A74ae478d2C3d555E6A316,,999530,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,57157229,2152817814627872387557
23742842,0x23f3654dc096e58bb33bdddae3047b4a87a1996e02e5c434e70998cd05ce9194,2025-11-06T21:11:59.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1022275,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,33836164,1416148134110074414430
23742887,0xa1b8e9a8d3e1c312a1812bbed8f02a9ef250b5be4845fd2f41b1bef75f3f9f19,2025-11-06T21:21:11.000Z,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,,347536,,0,0,,,,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,0x15700B564Ca08D9439C58cA5053166E8317aa138,1100000000,47296577812679820302265
23742894,0x0485ea986885e06ee7fdabfbba074c11429f1011b54415d0474a613c21f7eebe,2025-11-06T21:22:35.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,895861,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,42935914,1891828071385035215224
23742895,0xd53ddfcfe1b14431171f1b4ce856e817b0c9221f9e5f7456eeeee89bfd6f00c1,2025-11-06T21:22:47.000Z,0x3eA68f362520Bfa09D2deFC6169eEDF9E9b70408,,997970,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,58070272,2558673158385877419022
23742925,0xd51149d3f53b17dd0922370c9fec84bd56a0c438003957efac9a42d0fa173d9c,2025-11-06T21:28:47.000Z,0x04C62B449056D592474830d647d25451EE9c5F40,,1400000,,0,0,,,,0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C,0x15700B564Ca08D9439C58cA5053166E8317aa138,43154942,1929659418883586548653
23742942,0x941e604e409af5c57e42c189233dc15a69ab02a7e7e6499ac1a1923a3ee7f455,2025-11-06T21:32:11.000Z,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,,347463,,0,0,,,,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,0x15700B564Ca08D9439C58cA5053166E8317aa138,495,22364411340844910
23742951,0x9880c53151921b5344cac9bd115f5a9bd89d2f6e6572f35e24a018756d9aa552,2025-11-06T21:33:59.000Z,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,,347499,,0,0,,,,0x53dAf8aEbBF482e21611aFA2688bd74a90056C24,0x15700B564Ca08D9439C58cA5053166E8317aa138,495000000,22364411340844910027832
23742978,0xdd1686e7edc67640ea29ca84c5afcd41a434a15738864adb166e0df2c233a1a8,2025-11-06T21:39:35.000Z,0x9Ba0172ba5fA5d72dc47De26D71283774A4a47cb,,278021,,0,0,,,,0x7667095Caa12b79fCa489ff6E2198Ca01fDAe057,0x15700B564Ca08D9439C58cA5053166E8317aa138,135529170720,6123293177102371555970103
23743013,0x821f98ff67e655c778a6137d3cf348d0fc640096523e000afccbc736b492b123,2025-11-06T21:46:35.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,943450,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,65683409,3013737973196719393002
23743021,0x9db1fe2d840b9c0e19305090b38e5a9a2a42d76ac92777155ccddd47e9c909c4,2025-11-06T21:48:11.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,726432,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,39256101,1832179475453044392024
23743027,0xb8dcc9a017fa7659ff16bb8f8b94d6c21bc23fa9f3d8ab4f59b4c7fa48e52de3,2025-11-06T21:49:23.000Z,0x1b9FcB24c533839dC847235bd8Eb80E37EC42f85,,999480,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,152114117,7214133906533535285208
